Trades	Header	DataDiscriminator	Asset Category	Currency	Symbol	Date/Time	Exchange	Quantity	T. Price	C. Price	Notional Value	Comm/Fee	Basis	Realized P/L	Realized P/L %	MTM P/L	Code
Trades	Data	Trade	Futures	EUR	FCEM8	"2018-04-30, 09:51:38"	MONEP	2	5393.5	5412.5	-107870	-2.36	107872.36	0	0	380	O
Trades	Data	Trade	Futures	EUR	FCEM8	"2018-05-11, 09:50:37"	MONEP	-2	5462.5	5477.5	109250	-2.36	-107872.36	1375.28	1.27	-300	C
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-11, 09:51:07"	MONEP	2	5452	5466	-109040	-2.36	109042.36	0	0	280	O
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-14, 09:51:25"	MONEP	3	5457	5466.5	-163710	-3.54	163713.54	0	0	285	O
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-15, 09:50:25"	MONEP	-2	5471.5	5479.5	109430	-2.36	-109042.36	385.28	0.35	-160	C
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-16, 09:50:26"	MONEP	3	5494	5494.5	-164820	-3.54	164823.54	0	0	15	O
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-17, 09:50:28"	MONEP	-3	5521	5548.5	165630	-3.54	-163713.54	1912.92	1.17	-825	C
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-18, 09:50:38"	MONEP	3	5554.5	5540.5	-166635	-3.54	166638.54	0	0	-420	O
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-21, 09:51:25"	MONEP	1	5570.5	5565	-55705	-1.18	55706.18	0	0	-55	O
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-22, 09:50:30"	MONEP	-1	5579.5	5576.5	55795	-1.18	-54941.18	852.64	1.55	30	C
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-23, 09:50:35"	MONEP	-6	5497	5502.5	329820	-7.08	-332227.08	-2414.16	-0.73	-330	C
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-24, 09:50:25"	MONEP	1	5489.5	5486	-54895	-1.18	54896.18	0	0	-35	O;P
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-24, 09:50:27"	MONEP	1	5490	5486	-54900	-1.18	54901.18	0	0	-40	O;P
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-24, 09:50:27"	MONEP	1	5490	5486	-54900	-1.18	54901.18	0	0	-40	O;P
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-24, 09:50:28"	MONEP	1	5490	5486	-54900	-1.18	54901.18	0	0	-40	O;P
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-24, 09:50:28"	MONEP	1	5490	5486	-54900	-1.18	54901.18	0	0	-40	O;P
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-24, 09:50:29"	MONEP	1	5490	5486	-54900	-1.18	54901.18	0	0	-40	O;P
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-24, 09:50:29"	MONEP	1	5490	5486	-54900	-1.18	54901.18	0	0	-40	O;P
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-24, 09:50:30"	MONEP	1	5490	5486	-54900	-1.18	54901.18	0	0	-40	O;P
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-25, 09:50:29"	MONEP	-6	5465	5480.5	327900	-7.08	-329402.08	-1509.16	-0.46	-930	C;P
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-25, 09:50:31"	MONEP	-2	5465	5480.5	109300	-2.36	-109802.36	-504.72	-0.46	-310	C;P
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-25, 09:50:31"	MONEP	-1	5465	5480.5	54650	-1.18	-54648.82	0	0	-155	O;P
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-28, 09:51:16"	MONEP	1	5456	5453	-54560	-1.18	54648.82	87.64	0.16	-30	C;P
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-28, 09:51:16"	MONEP	3	5456	5453	-163680	-3.54	163683.54	0	0	-90	O;P
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-29, 09:50:26"	MONEP	-2	5396	5384.5	107920	-2.36	-109122.36	-1204.72	-1.1	230	C
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-30, 09:50:48"	MONEP	1	5377.5	5395.5	-53775	-1.18	53776.18	0	0	180	O
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-31, 09:50:31"	MONEP	-2	5386	5366	107720	-2.36	-108337.36	-619.72	-0.57	400	C;P
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-05-31, 09:50:31"	MONEP	-1	5385.5	5366	53855	-1.18	-53853.82	0	0	195	O;P
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-06-01, 09:50:35"	MONEP	1	5447	5435	-54470	-1.18	53853.82	-617.36	-1.15	-120	C;P
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-06-01, 09:50:35"	MONEP	4	5447	5435	-217880	-4.72	217884.72	0	0	-480	O;P
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-06-04, 09:51:16"	MONEP	-1	5453.5	5445	54535	-1.18	-54471.18	62.64	0.11	85	C
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-06-05, 09:50:29"	MONEP	1	5472	5436.5	-54720	-1.18	54721.18	0	0	-355	O
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-06-06, 09:50:30"	MONEP	-1	5405	5435	54050	-1.18	-54471.18	-422.36	-0.78	-300	C
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-06-07, 09:50:31"	MONEP	1	5434	5425.5	-54340	-1.18	54341.18	0	0	-85	O
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-06-08, 09:50:36"	MONEP	-1	5421.5	5428.5	54215	-1.18	-54471.18	-257.36	-0.47	-70	C
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-06-11, 09:51:21"	MONEP	1	5451.5	5462	-54515	-1.18	54516.18	0	0	105	O
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-06-12, 09:50:39"	MONEP	-2	5451	5441	109020	-2.36	-109192.36	-174.72	-0.16	200	C
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-06-13, 09:50:28"	MONEP	2	5448.5	5441	-108970	-2.36	108972.36	0	0	-150	O
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-06-14, 09:50:28"	MONEP	-2	5502.5	5517.5	110050	-2.36	-108857.36	1190.28	1.09	-300	C
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-06-15, 09:50:36"	MONEP	2	5514.5	5490	-110290	-2.36	110292.36	0	0	-490	O
Trades	Data	Trade	Futures	EUR	FCEU8	"2018-06-18, 09:51:33"	MONEP	-4	5425	5437.5	217000	-4.72	-219264.72	-2269.44	-1.04	-500	C
Trades	Data	Trade	Futures	EUR	FCEZ8	"2018-06-18, 10:14:24"	MONEP	1	5392.5	5407.5	-53925	-1.18	53926.18	0	0	150	O
Trades	Data	Trade	Futures	EUR	FCEZ8	"2018-06-19, 10:59:14"	MONEP	-1	5340.5	5351	53405	-1.18	-53926.18	-522.36	-0.97	-105	C
