Symbol,ExchangeId,ProductWeight,DiversityMultiplier,CarryScale,MacdSTScale,MacdMTScale,MacdLTScale,CarryWeight,MacdSTWeight,MacdMTWeight,MacdLTWeight,MacdSTPeriod,MacdMTPeriod,MacdLTPeriod
ES,CME,0.075538771,1.6,5.38,0.26,0.18,0.13,0.349188092,0.169190392,0.107771371,0.373850146,X_36_144,X_64_256,X_104_416
DAX,EUREX,0.036058908,1.7,4.27,0.26,0.2,0.15,0.403984362,0.122383875,0.139180088,0.334451675,X_12_48,X_28_112,X_60_240
CAC40,EURONEXT,0.062354973,1.45,3.74,0.41,0.24,0.19,0.484176421,0.126078989,0.096536034,0.293208557,X_20_80,X_48_192,X_80_320
N225M,OSE,0.029865375,1.4,7.47,0.86,0.49,0.31,0.440513557,0.214931519,0.099411279,0.245143645,X_4_16,X_12_48,X_28_112
MHI,HKEX,0.049205383,1.65,5.78,0.44,0.31,0.21,0.469282919,0.171449566,0.103275091,0.255992424,X_16_64,X_32_128,X_64_256
ZN,ECBOT,0.083011458,1.38,1.84,0.48,0.31,0.23,0.605312036,0.219829703,0.099603965,0.075254296,X_12_48,X_32_128,X_64_256
R,ICE,0.037064214,1.5,1.5,0.44,0.28,0.21,0.511871416,0.213834052,0.134541088,0.139753445,X_12_48,X_32_128,X_64_256
GBL,EUREX,0.170392252,1.27,1.73,0.46,0.28,0.19,0.597618191,0.110515894,0.118431792,0.173434123,X_12_48,X_32_128,X_64_256
MJ,OSE,0.19281265,1.4,1.63,0.58,0.29,0.21,0.545000588,0.262789749,0.062045987,0.130163677,X_8_32,X_32_128,X_64_256
QM,NYMEX,0.123228376,1.24,1.67,0.63,0.41,0.3,0.522569398,0.197342697,0.125154676,0.15493323,X_8_32,X_20_80,X_44_176
MGC,NYMEX,0.088291303,1.5,5.18,0.67,0.4,0.21,0.237597901,0.19766427,0.068108147,0.496629682,X_8_32,X_24_96,X_72_288
KC,NYBOT,0.052176339,1.54,2.21,0.91,0.37,0.17,0.371376058,0.178815156,0.194626152,0.255182634,X_4_16,X_28_112,X_120_480
